date,ticker,high,low,open,close,split_coefficient
2025-07-30,NYSE:PR,14.41,14.12,14.37,14.27,1.0
2025-07-31,NYSE:PR,14.405,14.01,14.04,14.16,1.0
2025-08-01,NYSE:PR,14.22,13.5748,14.01,13.65,1.0
2025-07-30,NYSE:LYG,4.24,4.19,4.24,4.21,1.0
2025-07-31,NYSE:LYG,4.25,4.19,4.24,4.22,1.0
2025-08-01,NYSE:LYG,4.44,4.05,4.11,4.36,1.0
2025-07-30,NASDAQ:MAT,17.49,17.09,17.42,17.15,1.0
2025-07-31,NASDAQ:MAT,17.155,16.81,17.12,17.01,1.0
2025-08-01,NASDAQ:MAT,17.1,16.725,16.91,16.86,1.0
2025-07-30,NASDAQ:APA,19.62,19.115,19.52,19.48,1.0
2025-07-31,NASDAQ:APA,19.67,19.1,19.185,19.29,1.0
2025-08-01,NASDAQ:APA,19.14,18.24,19.09,18.46,1.0
2025-07-30,NASDAQ:EXC,44.665,44.105,44.35,44.26,1.0
2025-07-31,NASDAQ:EXC,44.97,43.895,43.95,44.94,1.0
2025-08-01,NASDAQ:EXC,45.51,44.135,45.51,44.67,1.0
2025-07-30,NYSE:OVV,42.63,41.69,42.63,42.27,1.0
2025-07-31,NYSE:OVV,42.1,40.89,41.46,41.18,1.0
2025-08-01,NYSE:OVV,40.975,39.175,40.91,39.42,1.0
2025-07-30,NYSE:AR,34.02,33.2109,33.25,33.82,1.0
2025-07-31,NYSE:AR,35.12,33.925,34.13,34.93,1.0
2025-08-01,NYSE:AR,34.605,33.18,34.46,33.67,1.0
2025-07-30,NASDAQ:PAA,18.85,18.505,18.85,18.69,1.0
2025-07-31,NASDAQ:PAA,18.455,18.12,18.15,18.25,1.0
2025-08-01,NASDAQ:PAA,18.09,17.74,18.0,18.0,1.0
2025-07-30,NYSE:PBI,11.7142,11.37,11.65,11.38,1.0
2025-07-31,NYSE:PBI,11.96,11.03,11.93,11.36,1.0
2025-08-01,NYSE:PBI,11.4,10.95,11.13,11.25,1.0
2025-07-30,NASDAQ:BLNK,1.04,0.989,1.0,0.9987,1.0
2025-07-31,NASDAQ:BLNK,1.04,0.971,0.994,0.9734,1.0
2025-08-01,NASDAQ:BLNK,0.9787,0.9289,0.96,0.9509,1.0
2025-07-30,NASDAQ:NEO,5.57,4.94,5.22,5.1,1.0
2025-07-31,NASDAQ:NEO,5.11,4.78,5.11,4.84,1.0
2025-08-01,NASDAQ:NEO,5.255,4.72,4.81,5.16,1.0
2025-07-30,NYSE:MGY,24.64,24.165,24.43,24.38,1.0
2025-07-31,NYSE:MGY,24.77,23.605,24.5,23.82,1.0
2025-08-01,NYSE:MGY,23.89,22.92,23.87,23.45,1.0
2025-07-30,NYSE:RDW,14.8795,13.71,14.56,14.06,1.0
2025-07-31,NYSE:RDW,14.7099,13.96,14.17,14.29,1.0
2025-08-01,NYSE:RDW,14.21,13.1,13.61,13.87,1.0
2025-07-30,NYSE:FLR,56.655,55.4,56.0,56.03,1.0
2025-07-31,NYSE:FLR,57.0,55.5,55.8,56.77,1.0
2025-08-01,NYSE:FLR,42.49,37.62,42.345,41.42,1.0
2025-07-30,NASDAQ:PNFP,93.085,89.85,92.74,90.01,1.0
2025-07-31,NASDAQ:PNFP,90.04,87.615,89.73,87.89,1.0
2025-08-01,NASDAQ:PNFP,87.45,83.69,86.04,86.13,1.0
2025-07-30,NASDAQ:DFDV,16.3,14.2,16.2,14.8,1.0
2025-07-31,NASDAQ:DFDV,15.219,14.31,15.12,14.38,1.0
2025-08-01,NASDAQ:DFDV,14.16,13.13,13.7,14.05,1.0
2025-07-30,NYSE:TALO,9.11,8.74,9.1,8.84,1.0
2025-07-31,NYSE:TALO,8.855,8.409,8.68,8.55,1.0
2025-08-01,NYSE:TALO,8.515,7.9,8.47,7.94,1.0
2025-07-30,NASDAQ:INTR,6.755,6.535,6.61,6.7,1.0
2025-07-31,NASDAQ:INTR,6.725,6.525,6.71,6.54,1.0
2025-08-01,NASDAQ:INTR,6.68,6.475,6.635,6.49,1.0
2025-07-30,NASDAQ:CME,278.3,273.57,274.82,277.74,1.0
2025-07-31,NASDAQ:CME,280.85,276.065,276.97,278.28,1.0
2025-08-01,NASDAQ:CME,282.0599,279.145,280.79,280.76,1.0
2025-07-30,NYSE:RRC,36.705,36.07,36.07,36.69,1.0
2025-07-31,NYSE:RRC,37.15,36.3001,36.41,36.72,1.0
2025-08-01,NYSE:RRC,36.62,35.285,36.29,35.61,1.0
