date,ticker,high,low,open,close,split_coefficient
2025-09-19,NYSE:SEM,12.66,12.345,12.66,12.35,1.0
2025-09-22,NYSE:SEM,12.745,12.35,12.39,12.67,1.0
2025-09-23,NYSE:SEM,12.99,12.5,12.66,12.55,1.0
2025-09-24,NYSE:SEM,12.695,12.46,12.52,12.67,1.0
2025-09-25,NYSE:SEM,12.715,12.28,12.66,12.41,1.0
2025-09-26,NYSE:SEM,12.65,12.41,12.44,12.64,1.0
2025-09-29,NYSE:SEM,12.67,12.38,12.66,12.5,1.0
2025-09-30,NYSE:SEM,12.84,12.43,12.49,12.84,1.0
2025-10-01,NYSE:SEM,12.95,12.72,12.73,12.92,1.0
2025-10-02,NYSE:SEM,12.995,12.76,12.94,12.95,1.0
2025-10-03,NYSE:SEM,13.53,12.905,13.05,12.93,1.0
2025-10-06,NYSE:SEM,13.125,12.825,12.97,13.01,1.0
2025-10-07,NYSE:SEM,13.16,12.92,12.98,13.04,1.0
2025-10-08,NYSE:SEM,15.35,14.24,14.325,14.24,1.0
2025-10-09,NYSE:SEM,14.235,13.58,14.22,13.64,1.0
2025-10-10,NYSE:SEM,13.76,13.28,13.76,13.32,1.0
2025-10-13,NYSE:SEM,13.4886,13.18,13.44,13.19,1.0
2025-10-14,NYSE:SEM,13.525,12.97,13.09,13.42,1.0
2025-09-19,NYSE:TEO,6.92,6.5098,6.59,6.74,1.0
2025-09-22,NYSE:TEO,7.51,7.0635,7.25,7.43,1.0
2025-09-23,NYSE:TEO,7.685,7.36,7.6,7.43,1.0
2025-09-24,NYSE:TEO,8.1,7.41,8.0,7.6,1.0
2025-09-25,NYSE:TEO,7.7,7.4217,7.54,7.44,1.0
2025-09-26,NYSE:TEO,7.7,7.25,7.54,7.41,1.0
2025-09-29,NYSE:TEO,7.43,7.25,7.35,7.4,1.0
2025-09-30,NYSE:TEO,7.4717,7.12,7.42,7.27,1.0
2025-10-01,NYSE:TEO,7.435,7.21,7.21,7.28,1.0
2025-10-02,NYSE:TEO,7.47,7.09,7.31,7.45,1.0
2025-10-03,NYSE:TEO,7.55,7.33,7.4,7.48,1.0
2025-10-06,NYSE:TEO,7.62,7.385,7.52,7.53,1.0
2025-10-07,NYSE:TEO,7.59,7.22,7.59,7.3,1.0
2025-10-08,NYSE:TEO,7.38,6.93,7.3,7.26,1.0
2025-10-09,NYSE:TEO,7.85,7.19,7.19,7.72,1.0
2025-10-10,NYSE:TEO,7.7495,7.28,7.66,7.49,1.0
2025-10-13,NYSE:TEO,8.0,7.53,7.53,7.83,1.0
2025-10-14,NYSE:TEO,7.96,7.3,7.7,7.42,1.0
2025-09-19,NYSE:ETR,89.28,87.69,88.52,88.67,1.0
2025-09-22,NYSE:ETR,89.41,88.06,88.66,89.24,1.0
2025-09-23,NYSE:ETR,90.98,88.9,89.25,90.85,1.0
2025-09-24,NYSE:ETR,91.74,90.725,91.43,91.59,1.0
2025-09-25,NYSE:ETR,91.67,90.205,91.25,90.33,1.0
2025-09-26,NYSE:ETR,92.285,90.48,90.82,92.25,1.0
2025-09-29,NYSE:ETR,93.81,91.9,92.45,93.55,1.0
2025-09-30,NYSE:ETR,93.92,91.65,93.65,93.19,1.0
